scenario,model,seed,step,alive_population,births_this_step,deaths_this_step,p_one_alive,shannon_diversity_alive,theta_mean_alive,theta_std_alive,mean_resource_score_alive,opposite_interaction_rate
basis_selection,quantum,11,0,24,0,0,0.4583333333333333,0.9949848281859701,1.5434858028387974,0.7377254145292549,0.6167739577722892,0.0
basis_selection,quantum,11,1,26,5,3,0.46153846153846156,0.9957274520849256,1.6853454028854884,0.7498190317246943,0.6013074785076944,0.5238095238095238
basis_selection,quantum,11,2,27,4,3,0.4444444444444444,0.9910760598382222,1.7167017545198016,0.7407046595610726,0.6045924684403621,0.5652173913043478
basis_selection,quantum,11,3,29,5,3,0.4482758620689655,0.9922666387194963,1.7978211088236025,0.7310192105255834,0.5963646926142007,0.5416666666666666
basis_selection,quantum,11,4,35,7,1,0.5428571428571428,0.9946937953613058,1.877563805509415,0.7166273044767154,0.5893305857154623,0.5
basis_selection,quantum,11,5,40,9,4,0.525,0.99819587904281,1.8552928611507657,0.716963181103073,0.6022882239008199,0.4838709677419355
basis_selection,quantum,11,6,42,8,6,0.5238095238095238,0.9983636725938131,1.9320663911295572,0.7658922349579269,0.5532311682013343,0.4411764705882353
basis_selection,quantum,11,7,46,11,7,0.5869565217391305,0.978070970973496,2.054020112664628,0.7880740164161497,0.4989781343514091,0.5142857142857142
basis_selection,quantum,11,8,57,15,4,0.6491228070175439,0.9348490242345945,2.1449189892097658,0.6943158967533577,0.5119295644768976,0.42857142857142855
basis_selection,quantum,11,9,65,17,9,0.6307692307692307,0.9500796252338518,2.1763111960153245,0.6872793358823643,0.49762287094214464,0.5
basis_selection,quantum,11,10,80,20,5,0.6375,0.9447388286467892,2.213400672109429,0.6975341071119484,0.4689468642120337,0.4666666666666667
basis_selection,quantum,11,11,80,10,10,0.6875,0.8960382325345575,2.209423993432177,0.7231788480507515,0.4555114387185414,0.5
basis_selection,quantum,11,12,80,12,12,0.6625,0.9224062617590723,2.1498633248032646,0.7393972335072899,0.4673012129314011,0.45588235294117646
basis_selection,quantum,11,13,80,13,13,0.7125,0.8654698974285928,2.268711574247925,0.6872212679650613,0.435433201908471,0.43283582089552236
basis_selection,quantum,11,14,80,8,8,0.6875,0.8960382325345575,2.286558631729515,0.6787256335238068,0.42578418281742064,0.4583333333333333
basis_selection,quantum,11,15,80,11,11,0.725,0.8485481782946158,2.3303522444316895,0.6549495607468113,0.411598245840126,0.463768115942029
basis_selection,quantum,11,16,80,12,12,0.7,0.8812908992306927,2.3000173788326395,0.6765369723310296,0.4254228228997892,0.39705882352941174
basis_selection,quantum,11,17,80,13,13,0.7,0.8812908992306927,2.350966582746703,0.6431618784564938,0.4118376151849891,0.373134328358209
basis_selection,quantum,11,18,80,16,16,0.7375,0.8304955225035798,2.3391504999651227,0.6234640447729715,0.42573190128238536,0.484375
basis_selection,quantum,11,19,80,14,14,0.75,0.8112781244591328,2.360707309021835,0.594088318291768,0.4242523154154627,0.5151515151515151
basis_selection,quantum,11,20,80,9,9,0.7375,0.8304955225035798,2.339136977069699,0.5936394562518502,0.43828069441357453,0.39436619718309857
basis_selection,quantum,11,21,80,12,12,0.7375,0.8304955225035798,2.344579422622241,0.5562873371644216,0.45106498834167186,0.36764705882352944
basis_selection,quantum,11,22,80,10,10,0.725,0.8485481782946158,2.3267086753520574,0.5422046107125732,0.47286333371594347,0.35714285714285715
basis_selection,quantum,11,23,80,7,7,0.7375,0.8304955225035798,2.330911737644789,0.5403381358230941,0.4701705344923222,0.3835616438356164
basis_selection,quantum,11,24,80,9,9,0.7375,0.8304955225035798,2.3332026333285265,0.53225335113772,0.4674509277423649,0.3380281690140845
basis_selection,quantum,11,25,80,12,12,0.725,0.8485481782946158,2.3784444088233725,0.4955820725443628,0.4540834584172673,0.4117647058823529
basis_selection,quantum,11,26,80,10,10,0.7375,0.8304955225035798,2.3906937080177295,0.496118217286577,0.44583451197355906,0.4
basis_selection,quantum,11,27,80,8,8,0.75,0.8112781244591328,2.3976690229501174,0.49364550379982414,0.44556577730161073,0.4444444444444444
basis_selection,quantum,11,28,80,18,18,0.7875,0.7462343013654811,2.4315368465721425,0.4980444047210856,0.42455401135224946,0.43548387096774194
basis_selection,quantum,11,29,80,11,11,0.7625,0.79085809055281,2.44299202342175,0.48114331866145477,0.42105458421023145,0.3333333333333333
basis_selection,quantum,11,30,80,13,13,0.75,0.8112781244591328,2.477464628272302,0.4827309932743807,0.4027466537736372,0.43283582089552236
basis_selection,quantum,11,31,80,8,8,0.7375,0.8304955225035798,2.472215534088135,0.48012458830480254,0.40652439736366447,0.375
basis_selection,quantum,11,32,80,9,9,0.75,0.8112781244591328,2.5049225968698807,0.4792439107577374,0.38745836100664655,0.36619718309859156
basis_selection,quantum,11,33,77,18,21,0.7012987012987013,0.879697578277517,2.5372403758732447,0.4931529021970695,0.3659696095075356,0.2711864406779661
basis_selection,quantum,11,34,80,12,9,0.6875,0.8960382325345575,2.467757049574175,0.4996198045071924,0.4102716175449702,0.5147058823529411
basis_selection,quantum,11,35,80,13,13,0.7,0.8812908992306927,2.4740011564956372,0.5025944700090049,0.4150422899191829,0.5074626865671642
basis_selection,quantum,11,36,80,12,12,0.7,0.8812908992306927,2.4784881358992314,0.48477415489715353,0.4170298443982947,0.39705882352941174
basis_selection,quantum,11,37,80,11,11,0.6875,0.8960382325345575,2.4772195074144006,0.48345242035002445,0.41596780245492476,0.4492753623188406
basis_selection,quantum,11,38,80,11,11,0.7,0.8812908992306927,2.456211890411608,0.47766947846308566,0.4298521140983196,0.4057971014492754
basis_selection,quantum,11,39,80,9,9,0.6875,0.8960382325345575,2.458469524252936,0.4927272875285749,0.4231709890901616,0.38028169014084506
basis_selection,quantum,11,40,80,12,12,0.6875,0.8960382325345575,2.447664139644994,0.4829980437074187,0.43695032485690205,0.4852941176470588
basis_selection,quantum,11,41,80,10,10,0.6375,0.9447388286467892,2.4621363770075724,0.4768823162096027,0.43086364917686365,0.44285714285714284
basis_selection,quantum,11,42,80,13,13,0.6125,0.9631672450918831,2.3993968694873997,0.4780614832707924,0.4759109579648554,0.373134328358209
basis_selection,quantum,11,43,74,13,19,0.6351351351351351,0.9466474387740498,2.3904078513801714,0.4802663434161809,0.47831953414945483,0.4426229508196721
basis_selection,quantum,11,44,80,16,10,0.6375,0.9447388286467892,2.419528766672396,0.4861599471190251,0.46155963309337344,0.453125
basis_selection,quantum,11,45,80,14,14,0.6875,0.8960382325345575,2.4274383114033284,0.4749366826678092,0.45307971912843853,0.36363636363636365
